15:17:28.402 [main] INFO  org.testng.internal.Utils - [TestNG] Running:
  /Users/nikidhimmar/eclipse-workspace/OpencartV11/master.xml

15:19:00.221 [main] INFO  org.testng.internal.Utils - [TestNG] Running:
  /Users/nikidhimmar/eclipse-workspace/OpencartV11/master.xml

15:19:09.973 [main] INFO  testCases.TC003_DataDrivenThroughJSON - ****** Starting TC003 Data Driven login Through JSON ***********
15:19:12.004 [main] INFO  testCases.TC003_DataDrivenThroughJSON - Clicking on My Account....
15:19:12.630 [main] INFO  testCases.TC003_DataDrivenThroughJSON - Clicking on Login....
15:19:13.482 [main] INFO  testCases.TC003_DataDrivenThroughJSON - Enter Login Details Via JSON file with the help of POJO ProductData class....
15:19:24.962 [main] INFO  testCases.TC003_DataDrivenThroughJSON - Verify successful Loggin in Via JSON file with the help of POJO ProductData class....
15:19:24.966 [main] INFO  testCases.TC003_DataDrivenThroughJSON - ******** Finished TC003 Data Driven login through JSON file
15:19:24.975 [main] INFO  testCases.TC003_DataDrivenThroughJSON - ****** Starting TC003 Data Driven login Through JSON ***********
15:19:26.981 [main] INFO  testCases.TC003_DataDrivenThroughJSON - Clicking on My Account....
15:19:27.162 [main] INFO  testCases.TC003_DataDrivenThroughJSON - Clicking on Login....
15:19:28.066 [main] INFO  testCases.TC003_DataDrivenThroughJSON - Enter Login Details Via JSON file with the help of POJO ProductData class....
15:19:39.196 [main] INFO  testCases.TC003_DataDrivenThroughJSON - Verify successful Loggin in Via JSON file with the help of POJO ProductData class....
15:19:39.197 [main] INFO  testCases.TC003_DataDrivenThroughJSON - ******** Finished TC003 Data Driven login through JSON file
15:19:39.207 [main] INFO  testCases.TC003_DataDrivenThroughJSON - ****** Starting TC003 Data Driven login Through JSON ***********
15:19:41.213 [main] INFO  testCases.TC003_DataDrivenThroughJSON - Clicking on My Account....
15:19:41.267 [main] INFO  testCases.TC003_DataDrivenThroughJSON - Clicking on Login....
15:19:42.081 [main] INFO  testCases.TC003_DataDrivenThroughJSON - Enter Login Details Via JSON file with the help of POJO ProductData class....
15:19:43.153 [main] INFO  testCases.TC003_DataDrivenThroughJSON - Verify successful Loggin in Via JSON file with the help of POJO ProductData class....
15:19:43.813 [main] INFO  testCases.TC003_DataDrivenThroughJSON - ******** Finished TC003 Data Driven login through JSON file
15:19:43.817 [main] INFO  testCases.TC003_DataDrivenThroughJSON - ****** Starting TC003 Data Driven login Through JSON ***********
15:19:45.824 [main] INFO  testCases.TC003_DataDrivenThroughJSON - Clicking on My Account....
15:19:45.886 [main] INFO  testCases.TC003_DataDrivenThroughJSON - Clicking on Login....
15:19:46.239 [main] INFO  testCases.TC003_DataDrivenThroughJSON - Enter Login Details Via JSON file with the help of POJO ProductData class....
15:19:56.393 [main] INFO  testCases.TC003_DataDrivenThroughJSON - Verify successful Loggin in Via JSON file with the help of POJO ProductData class....
15:19:56.393 [main] INFO  testCases.TC003_DataDrivenThroughJSON - ******** Finished TC003 Data Driven login through JSON file
15:19:56.401 [main] INFO  testCases.TC003_DataDrivenThroughJSON - ****** Starting TC003 Data Driven login Through JSON ***********
15:19:58.408 [main] INFO  testCases.TC003_DataDrivenThroughJSON - Clicking on My Account....
15:19:58.462 [main] INFO  testCases.TC003_DataDrivenThroughJSON - Clicking on Login....
15:19:59.268 [main] INFO  testCases.TC003_DataDrivenThroughJSON - Enter Login Details Via JSON file with the help of POJO ProductData class....
15:20:10.231 [main] INFO  testCases.TC003_DataDrivenThroughJSON - Verify successful Loggin in Via JSON file with the help of POJO ProductData class....
15:20:10.232 [main] INFO  testCases.TC003_DataDrivenThroughJSON - ******** Finished TC003 Data Driven login through JSON file
01:24:17.481 [main] INFO  org.testng.internal.Utils - [TestNG] Running:
  /Users/nikidhimmar/eclipse-workspace/OpencartV11/Grouping.xml

01:24:27.908 [main] INFO  testCases.TC003_DataDrivenThroughJSON - ****** Starting TC003 Data Driven login Through JSON ***********
01:24:29.937 [main] INFO  testCases.TC003_DataDrivenThroughJSON - Clicking on My Account....
01:24:30.452 [main] INFO  testCases.TC003_DataDrivenThroughJSON - Clicking on Login....
01:24:31.125 [main] INFO  testCases.TC003_DataDrivenThroughJSON - Enter Login Details Via JSON file with the help of POJO ProductData class....
01:24:42.818 [main] INFO  testCases.TC003_DataDrivenThroughJSON - Verify successful Loggin in Via JSON file with the help of POJO ProductData class....
01:24:42.822 [main] INFO  testCases.TC003_DataDrivenThroughJSON - ******** Finished TC003 Data Driven login through JSON file
01:24:42.832 [main] INFO  testCases.TC003_DataDrivenThroughJSON - ****** Starting TC003 Data Driven login Through JSON ***********
01:24:44.837 [main] INFO  testCases.TC003_DataDrivenThroughJSON - Clicking on My Account....
